阈值,最大连通子图,第二大连通子图
0.0046546546546546545,11,1
0.004664664664664664,11,1
0.004674674674674675,11,1
0.0046846846846846845,11,1
0.004694694694694694,11,1
0.004704704704704705,11,1
0.0047147147147147146,11,1
0.004724724724724724,11,1
0.004734734734734735,11,1
0.0047447447447447446,11,1
0.004754754754754754,11,1
0.004764764764764765,11,1
0.004774774774774775,11,1
0.004784784784784784,11,1
0.004794794794794795,11,1
0.004804804804804805,11,1
0.004814814814814814,11,1
0.004824824824824825,11,1
0.004834834834834835,11,1
0.004844844844844844,11,1
0.004854854854854855,11,1
0.004864864864864865,11,1
0.004874874874874875,11,1
0.004884884884884885,11,1
0.004894894894894895,10,1
0.004904904904904905,10,1
0.004914914914914915,10,1
0.004924924924924925,10,1
0.004934934934934935,10,1
0.004944944944944945,10,1
0.004954954954954955,10,1
0.004964964964964965,10,1
0.004974974974974975,10,1
0.004984984984984985,10,1
0.004994994994994995,10,1
0.005005005005005005,10,1
0.005015015015015015,10,1
0.005025025025025025,10,1
0.005035035035035035,10,1
0.005045045045045045,10,1
0.005055055055055055,10,1
0.005065065065065065,10,1
0.005075075075075075,10,1
0.005085085085085085,10,1
0.005095095095095095,10,1
0.005105105105105105,9,1
0.005115115115115115,9,1
0.005125125125125125,9,1
0.005135135135135135,9,1
0.005145145145145145,9,1
0.005155155155155155,9,1
0.005165165165165165,9,1
0.005175175175175175,9,1
0.005185185185185185,9,1
0.005195195195195195,9,1
0.005205205205205205,9,1
0.005215215215215215,9,1
0.005225225225225225,9,1
0.005235235235235235,9,1
0.005245245245245245,9,1
0.005255255255255255,9,1
0.005265265265265265,9,1
0.005275275275275275,9,1
0.005285285285285285,9,1
0.005295295295295295,9,1
0.005305305305305305,9,1
0.005315315315315315,9,1
0.005325325325325325,9,1
0.005335335335335335,9,1
0.005345345345345345,9,1
0.005355355355355355,9,1
0.005365365365365365,9,1
0.005375375375375375,9,1
0.005385385385385385,9,1
0.005395395395395395,9,1
0.005405405405405406,9,1
0.005415415415415415,9,1
0.005425425425425425,9,1
0.005435435435435436,9,1
0.005445445445445445,9,1
0.005455455455455455,9,1
0.005465465465465466,9,1
0.0054754754754754754,9,1
0.005485485485485485,9,1
0.005495495495495496,9,1
0.0055055055055055055,9,1
0.005515515515515515,9,1
0.005525525525525526,9,1
0.0055355355355355355,9,1
0.005545545545545545,9,1
0.005555555555555556,9,1
0.0055655655655655655,9,1
0.005575575575575575,9,1
0.005585585585585586,9,1
0.0055955955955955955,9,1
0.005605605605605605,9,1
0.005615615615615616,9,1
0.0056256256256256255,9,1
0.005635635635635635,9,1
0.005645645645645646,9,1
0.0056556556556556555,9,1
0.005665665665665665,9,1
0.005675675675675676,9,1
0.0056856856856856855,9,1
0.005695695695695695,9,1
0.005705705705705706,9,1
0.0057157157157157155,9,1
0.005725725725725725,9,1
0.005735735735735736,9,1
0.0057457457457457456,9,1
0.005755755755755755,9,1
0.005765765765765766,9,1
0.005775775775775776,9,1
0.005785785785785785,9,1
0.005795795795795796,9,1
0.005805805805805806,9,1
0.005815815815815815,9,1
0.005825825825825826,9,1
0.005835835835835836,9,1
0.005845845845845845,9,1
0.005855855855855856,9,1
0.005865865865865866,8,1
0.005875875875875875,8,1
0.005885885885885886,8,1
0.005895895895895896,8,1
0.005905905905905906,8,1
0.005915915915915916,8,1
0.005925925925925926,8,1
0.005935935935935936,8,1
0.005945945945945946,8,1
0.005955955955955956,8,1
0.005965965965965966,8,1
0.005975975975975976,8,1
0.005985985985985986,8,1
0.005995995995995996,8,1
0.006006006006006006,8,1
0.006016016016016016,8,1
0.006026026026026026,8,1
0.006036036036036036,8,1
0.006046046046046046,8,1
0.006056056056056056,8,1
0.006066066066066066,8,1
0.006076076076076076,8,1
0.006086086086086086,8,1
0.006096096096096096,8,1
0.006106106106106106,8,1
0.006116116116116116,8,1
0.006126126126126126,8,1
0.006136136136136136,8,1
0.006146146146146146,8,1
0.006156156156156156,8,1
0.006166166166166166,8,1
0.006176176176176176,8,1
0.006186186186186186,8,1
0.006196196196196196,8,1
0.006206206206206206,8,1
0.006216216216216216,8,1
0.006226226226226226,8,1
0.006236236236236236,8,1
0.006246246246246246,8,1
0.006256256256256256,8,1
0.006266266266266266,8,1
0.006276276276276276,8,1
0.006286286286286286,8,1
0.006296296296296296,8,1
0.006306306306306306,8,1
0.006316316316316316,8,1
0.006326326326326326,8,1
0.006336336336336336,8,1
0.006346346346346346,8,1
0.006356356356356356,8,1
0.006366366366366366,8,1
0.006376376376376376,8,1
0.006386386386386386,8,1
0.006396396396396396,8,1
0.006406406406406407,8,1
0.006416416416416416,8,1
0.006426426426426426,8,1
0.006436436436436437,8,1
0.006446446446446446,8,1
0.006456456456456456,8,1
0.006466466466466467,8,1
0.0064764764764764764,8,1
0.006486486486486486,8,1
0.006496496496496497,8,1
0.0065065065065065065,8,1
0.006516516516516516,8,1
0.006526526526526527,8,1
0.0065365365365365365,8,1
0.006546546546546546,8,1
0.006556556556556557,8,1
0.0065665665665665665,8,1
0.006576576576576576,8,1
0.006586586586586587,8,1
0.0065965965965965965,8,1
0.006606606606606606,8,1
0.006616616616616617,8,1
0.0066266266266266265,8,1
0.006636636636636636,8,1
0.006646646646646647,8,1
0.0066566566566566565,8,1
0.006666666666666666,8,1
0.006676676676676677,8,1
0.0066866866866866865,8,1
0.006696696696696696,8,1
0.006706706706706707,8,1
0.0067167167167167165,8,1
0.006726726726726726,8,1
0.006736736736736737,8,1
0.0067467467467467465,8,1
0.006756756756756756,8,1
0.006766766766766767,8,1
0.0067767767767767766,8,1
0.006786786786786786,8,1
0.006796796796796797,8,1
0.006806806806806807,8,1
0.006816816816816816,8,1
0.006826826826826827,8,1
0.006836836836836837,8,1
